oaCode,totalPopulation,totalHouseholds,personsPerHousehold
11240510010001,416,160,2.6
11240510010002,564,267,2.1
11240510010003,601,282,2.1
11240510010004,409,189,2.2
11240510010005,493,220,2.2
11240510010006,442,202,2.2
11240510010007,424,214,2
11240510010008,570,246,2.3
11240510010009,490,217,2.3
11240510010010,507,234,2.2
11240510010011,539,238,2.3
11240510010012,499,234,2.1
11240510010013,553,244,2.3
11240510010014,419,175,2.4
11240510010015,544,201,2.7
11240510010016,570,250,2.3
11240510010101,635,235,2.7
11240510010201,536,200,2.7
11240510010202,596,242,2.5
11240510010301,632,234,2.7
11240510010302,505,193,2.6
11240510010303,476,179,2.7
11240510010304,483,177,2.7
11240520010001,376,195,1.9
11240520010002,609,318,1.9
11240520010003,427,176,2.4
11240520010004,331,173,1.9
11240520010005,504,254,2
11240520010006,390,176,2.2
11240520010007,473,258,1.8
11240520010008,616,304,2
11240520010009,390,205,1.9
11240520010010,608,294,2.1
11240520010011,356,57,6.2
11240520010012,553,274,2
11240520010013,506,215,2.4
11240520010014,476,253,1.9
11240520010015,346,134,2.6
11240520010016,475,256,1.9
11240520010017,582,287,2
11240520010018,576,384,1.5
11240520010020,0,0,0
11240520010021,453,209,2.2
11240520010201,390,150,2.6
11240520010202,421,146,2.9
11240520010203,451,173,2.6
11240520010204,601,224,2.7
11240520010301,382,139,2.7
11240520010302,371,128,2.9
11240520010501,424,217,2
11240520010502,363,147,2.5
11240520010503,578,192,3
11240520010601,604,223,2.7
11240520010602,459,149,3.1
11240520010603,504,163,3.1
11240520010604,372,124,3
11240520010605,486,210,2.3
11240520010701,377,138,2.7
11240520011201,474,152,3.1
11240520011202,463,232,2
11240520011401,503,184,2.7
11240520011501,474,166,2.9
11240520011601,555,217,2.6
11240520011602,488,186,2.6
11240520011701,338,114,3
11240520011801,390,134,2.9
11240520011802,464,176,2.6
11240520011803,337,119,2.8
11240520020001,362,34,10.6
11240520020101,578,219,2.6
11240520020102,492,179,2.7
11240520020103,376,140,2.7
11240520020104,381,144,2.6
11240530010001,472,234,2
11240530010002,493,272,1.8
11240530010003,402,198,2
11240530010004,399,186,2.1
11240530010005,460,246,1.9
11240530010006,493,271,1.8
11240530010007,600,255,2.4
11240530010008,487,245,2
11240530010009,496,194,2.6
11240530010010,574,259,2.2
11240530010011,586,336,1.7
11240530010012,488,230,2.1
11240530010013,516,220,2.3
11240530010301,397,142,2.8
11240530010501,833,303,2.7
11240530020001,469,238,2
11240530020002,46,17,2.7
11240530020003,388,235,1.7
11240530020004,330,156,2.1
11240530020101,508,181,2.8
11240530020102,516,190,2.7
11240530020103,334,118,2.8
11240530020201,373,128,2.9
11240530020202,331,130,2.5
11240530020301,431,140,3.1
11240540010001,515,199,2.6
11240540010002,420,218,1.9
11240540010003,425,183,2.3
11240540010004,368,86,4.3
11240540010005,0,0,0
11240540010006,472,226,2.1
11240540010007,580,280,2.1
11240540010008,560,261,2.1
11240540010009,350,167,2.1
11240540010010,391,202,1.9
11240540010011,380,194,2
11240540010013,497,198,2.5
11240540010101,446,147,3
11240540010102,450,151,3
11240540010103,598,235,2.5
11240540010104,567,189,3
11240540010105,683,224,3
11240540010106,467,250,1.9
11240540010107,650,209,3.1
11240540010108,564,232,2.4
11240540010109,430,154,2.8
11240540010110,457,147,3.1
11240540010201,631,230,2.7
11240540010202,515,181,2.8
11240540010203,547,208,2.6
11240540010204,495,199,2.5
11240540010205,483,253,1.9
11240540010206,368,120,3.1
11240540010501,531,301,1.8
11240540010502,536,319,1.7
11240540010601,751,275,2.7
11240540010701,693,399,1.7
11240540010702,322,194,1.7
11240540010801,584,257,2.3
11240540010802,596,262,2.3
11240540010901,451,175,2.6
11240540010902,603,228,2.6
11240540010903,476,190,2.5
11240540011101,447,180,2.5
11240540011102,558,283,2
11240540011103,623,322,1.9
11240540011104,476,192,2.5
11240540011201,462,148,3.1
11240540011202,501,177,2.8
11240540011203,442,149,3
11240550010001,562,275,2
11240550010002,532,251,2.1
11240550010003,605,293,2.1
11240550010004,511,234,2.2
11240550010005,523,233,2.2
11240550010006,590,305,1.9
11240550010007,594,316,1.9
11240550010008,600,301,2
11240550010009,436,219,2
11240550010010,559,277,2
11240550010011,535,253,2.1
11240550010012,594,284,2.1
11240550010013,582,294,2
11240550010014,563,270,2.1
11240550010015,562,249,2.3
11240550010016,552,334,1.7
11240550010017,525,258,2
11240550010018,495,223,2.2
11240550010019,596,290,2.1
11240550010020,430,213,2
11240550010301,501,173,2.9
11240550010401,529,199,2.7
11240550010501,594,233,2.5
11240550010502,495,187,2.6
11240550010503,577,195,3
11240550010504,459,177,2.6
11240550010601,417,152,2.7
11240550010602,399,142,2.8
11240550010603,487,205,2.4
11240550010604,443,161,2.8
11240550010605,555,204,2.7
11240560010001,399,146,2.7
11240560010002,538,293,1.8
11240560010003,437,229,1.9
11240560010004,499,230,2.2
11240560010005,503,242,2.1
11240560010006,515,254,2
11240560010007,477,220,2.2
11240560010008,580,290,2
11240560010009,444,216,2.1
11240560010010,585,246,2.4
11240560010011,553,284,1.9
11240560010012,471,227,2.1
11240560010013,410,195,2.1
11240560010014,529,257,2.1
11240560010015,559,278,2
11240560010016,450,216,2.1
11240560010017,463,181,2.6
11240560010018,410,193,2.1
11240560010019,485,241,2
11240560010020,406,185,2.2
11240560010021,484,213,2.3
11240560010022,587,263,2.2
11240560010023,561,212,2.6
11240560010024,507,247,2.1
11240560010025,566,305,1.9
11240560010026,407,192,2.1
11240560010027,462,227,2
11240560010028,429,210,2
11240560010101,642,247,2.6
11240560010201,406,167,2.4
11240560010301,612,215,2.8
11240560010501,327,122,2.7
11240560010701,339,134,2.5
11240560011201,419,165,2.5
11240560011202,459,105,4.4
11240570010001,418,178,2.3
11240570010002,584,219,2.7
11240570010003,385,164,2.3
11240570010004,521,197,2.6
11240570010005,453,175,2.6
11240570010006,523,213,2.5
11240570010007,407,191,2.1
11240570010008,626,233,2.7
11240570010009,597,283,2.1
11240570010010,521,228,2.3
11240570010011,414,171,2.4
11240570010012,558,278,2
11240570010013,514,207,2.5
11240570010014,560,255,2.2
11240570010015,396,164,2.4
11240570010016,392,161,2.4
11240570010017,491,200,2.5
11240570010018,424,187,2.3
11240570010019,623,266,2.3
11240570010020,446,204,2.2
11240570010101,753,252,3
11240570010201,415,148,2.8
11240570010202,496,179,2.8
11240570010203,421,150,2.8
11240570010301,310,104,3
11240570010601,474,162,2.9
11240570010602,777,260,3
11240570010603,435,144,3
11240570010604,580,192,3
11240580010001,669,559,1.2
11240580010002,434,262,1.7
11240580010003,528,457,1.2
11240580010004,373,188,2
11240580010005,507,343,1.5
11240580010006,536,375,1.4
11240580010007,343,189,1.8
11240580010008,584,479,1.2
11240580010009,417,339,1.2
11240580010010,552,307,1.8
11240580010011,381,218,1.7
11240580010012,667,357,1.9
11240580010013,460,274,1.7
11240580010014,333,185,1.8
11240580010015,361,232,1.6
11240580010016,642,324,2
11240580010017,351,194,1.8
11240580010018,555,296,1.9
11240580010019,423,350,1.2
11240580010501,599,448,1.3
11240580010601,667,559,1.2
11240580010701,478,392,1.2
11240580010801,550,450,1.2
11240580010901,463,348,1.3
11240580020001,346,153,2.3
11240580020002,513,258,2
11240580020003,498,206,2.4
11240580020004,574,311,1.8
11240580020005,589,337,1.7
11240580020006,544,237,2.3
11240580020007,459,238,1.9
11240580020008,375,191,2
11240580020009,370,174,2.1
11240580020010,628,334,1.9
11240580020011,579,304,1.9
11240580020012,495,240,2.1
11240580020013,560,222,2.5
11240580020014,557,272,2
11240580020015,597,283,2.1
11240580020016,469,251,1.9
11240580020017,391,198,2
11240580020018,467,202,2.3
11240580020019,413,198,2.1
11240580020020,575,285,2
11240580020021,410,200,2.1
11240580020022,585,271,2.2
11240580020023,541,240,2.3
11240580020024,371,140,2.7
11240580020025,591,276,2.1
11240580020026,390,68,5.7
11240580020027,666,311,2.1
11240580020301,342,140,2.4
11240580020501,399,144,2.8
11240590010001,0,0,0
11240590020001,861,2,430.5
11240590030002,0,0,0
11240590030101,530,179,3
11240590030102,430,140,3.1
11240590030103,516,156,3.3
11240590030104,487,159,3.1
11240590030105,459,165,2.8
11240590030106,517,183,2.8
11240590030107,428,152,2.8
11240590030108,420,157,2.7
11240590030109,579,200,2.9
11240590040101,572,187,3.1
11240590040102,480,160,3
11240590040103,582,191,3
11240590040104,560,183,3.1
11240590050001,0,0,0
11240590050101,446,144,3.1
11240590050102,531,175,3
11240590050103,514,176,2.9
11240590050104,466,156,3
11240590050105,454,152,3
11240590050106,518,178,2.9
11240590050107,504,172,2.9
11240590050108,523,170,3.1
11240590050109,555,196,2.8
11240590050110,450,143,3.1
11240590050111,436,150,2.9
11240590050112,503,176,2.9
11240590050113,537,175,3.1
11240590050114,400,141,2.8
11240590050115,438,150,2.9
11240590050116,473,160,3
11240590050117,411,144,2.9
11240590050118,510,183,2.8
11240590050119,477,157,3
11240590050120,560,192,2.9
11240600010001,498,199,2.5
11240600010002,395,206,1.9
11240600010003,369,185,2
11240600010004,443,210,2.1
11240600010005,528,182,2.9
11240600010006,416,105,4
11240600010007,373,169,2.2
11240600010008,384,184,2.1
11240600010009,380,144,2.6
11240600010010,135,72,1.9
11240600010011,402,188,2.1
11240600010201,328,110,3
11240600010301,480,176,2.7
11240600010302,400,143,2.8
11240600010303,403,146,2.8
11240600010304,405,147,2.8
11240600010305,336,117,2.9
11240600010401,588,218,2.7
11240600010402,450,164,2.7
11240600010403,519,188,2.8
11240600010404,473,163,2.9
11240600010405,470,166,2.8
11240600010406,506,192,2.6
11240600010407,547,192,2.8
11240600010501,329,114,2.9
11240600010601,574,198,2.9
11240600010602,343,217,1.6
11240600020001,492,216,2.3
11240600020002,496,202,2.5
11240600020003,595,260,2.3
11240600020004,535,238,2.2
11240600020005,587,284,2.1
11240600020006,427,184,2.3
11240600020007,564,249,2.3
11240600020008,414,180,2.3
11240600020009,544,250,2.2
11240600020010,415,158,2.6
11240600020011,449,176,2.6
11240600020012,517,226,2.3
11240600020013,528,218,2.4
11240600020014,510,240,2.1
11240600020015,473,193,2.5
11240600020101,497,165,3
11240600020102,537,240,2.2
11240600020103,311,163,1.9
11240600020301,397,146,2.7
11240600020302,425,180,2.4
11240600030001,609,286,2.1
11240600030101,584,211,2.8
11240600030102,584,173,3.4
11240600030103,579,233,2.5
11240600030104,373,188,2
11240600040001,584,234,2.5
11240600040002,512,238,2.2
11240600040003,448,189,2.4
11240600040004,540,247,2.2
11240600040005,442,196,2.3
11240600040006,466,201,2.3
11240600040007,505,224,2.3
11240600040008,601,301,2
11240600040009,499,202,2.5
11240600040101,721,269,2.7
11240600040201,633,220,2.9
11240600040301,529,190,2.8
11240600050001,449,186,2.4
11240600050002,436,191,2.3
11240600050003,432,205,2.1
11240600050004,497,211,2.4
11240600050005,413,178,2.3
11240600050101,583,217,2.7
11240600050201,477,166,2.9
11240600050202,486,221,2.2
11240600050203,380,166,2.3
11240600050204,342,179,1.9
11240600050301,587,212,2.8
11240600050401,367,120,3.1
11240600050402,401,142,2.8
11240610010001,583,335,1.7
11240610010002,389,213,1.8
11240610010003,517,266,1.9
11240610010004,540,270,2
11240610010005,433,209,2.1
11240610010006,433,218,2
11240610010007,576,316,1.8
11240610010008,532,303,1.8
11240610010009,548,306,1.8
11240610010010,425,223,1.9
11240610010011,476,262,1.8
11240610010012,418,253,1.7
11240610010013,517,280,1.8
11240610010014,414,239,1.7
11240610010015,553,334,1.7
11240610010016,485,254,1.9
11240610010017,455,239,1.9
11240610010018,429,223,1.9
11240610010501,375,143,2.6
11240610010701,589,227,2.6
11240610020001,502,244,2.1
11240610020002,394,189,2.1
11240610020003,502,260,1.9
11240610020004,419,242,1.7
11240610020005,425,199,2.1
11240610020006,524,282,1.9
11240610020007,579,271,2.1
11240610020008,547,336,1.6
11240610020009,421,220,1.9
11240610020010,435,251,1.7
11240610020011,378,197,1.9
11240610020012,581,269,2.2
11240610020013,579,260,2.2
11240610020014,678,353,1.9
11240610020015,589,319,1.8
11240610020016,573,372,1.5
11240610020017,378,183,2.1
11240610020018,526,278,1.9
11240610020019,569,316,1.8
11240610020020,493,255,1.9
11240610020021,436,244,1.8
11240610020022,589,307,1.9
11240610020101,476,168,2.8
11240610020102,563,191,2.9
11240610020103,529,214,2.5
11240620010001,318,123,2.6
11240620010002,602,268,2.2
11240620010003,378,187,2
11240620010004,463,210,2.2
11240620010005,522,251,2.1
11240620010006,647,263,2.5
11240620010007,0,0,0
11240620010008,491,245,2
11240620010009,642,283,2.3
11240620010010,446,161,2.8
11240620010011,399,191,2.1
11240620010012,515,236,2.2
11240620010013,366,205,1.8
11240620010014,358,155,2.3
11240620010015,0,0,0
11240620010101,321,106,3
11240620010301,432,142,3
11240620010302,613,215,2.9
11240620010303,600,216,2.8
11240620010304,466,166,2.8
11240620010401,546,192,2.8
11240620010402,499,165,3
11240620010403,486,166,2.9
11240620010404,526,191,2.8
11240620010405,599,210,2.9
11240620010501,586,193,3
11240620010502,498,178,2.8
11240620010601,452,142,3.2
11240620010602,429,152,2.8
11240620010603,580,208,2.8
11240620010604,504,169,3
11240620010605,519,174,3
11240620010701,630,209,3
11240620010702,508,178,2.9
11240620010703,575,199,2.9
11240620010704,604,206,2.9
11240620010901,385,119,3.2
11240620010902,321,124,2.6
11240630010001,374,175,2.1
11240630010002,682,415,1.6
11240630010003,485,258,1.9
11240630010004,401,253,1.6
11240630010005,410,227,1.8
11240630010006,514,276,1.9
11240630010007,481,275,1.7
11240630010008,437,268,1.6
11240630010009,552,308,1.8
11240630010010,440,234,1.9
11240630010011,518,277,1.9
11240630010012,530,297,1.8
11240630010013,478,321,1.5
11240630010014,521,297,1.8
11240630010015,625,314,2
11240630010016,480,264,1.8
11240630010017,578,338,1.7
11240630010018,376,201,1.9
11240630010019,503,282,1.8
11240630010020,384,232,1.7
11240630010021,612,328,1.9
11240630010022,420,224,1.9
11240630010023,446,231,1.9
11240630010301,318,250,1.3
11240630020001,497,230,2.2
11240630020002,554,280,2
11240630020003,526,256,2.1
11240630020004,580,306,1.9
11240630020005,620,328,1.9
11240630020006,603,279,2.2
11240630020007,471,262,1.8
11240630020008,604,302,2
11240630020009,482,220,2.2
11240630020010,575,295,1.9
11240630020011,616,311,2
11240630020012,432,202,2.1
11240630020013,614,290,2.1
11240630020014,443,243,1.8
11240630020015,402,220,1.8
11240630020016,596,302,2
11240630020017,471,210,2.2
11240630020018,540,292,1.8
11240630020019,470,249,1.9
11240630020020,606,336,1.8
11240630020021,651,303,2.1
11240630020022,495,247,2
11240630020023,597,276,2.2
11240630020024,454,268,1.7
11240630020025,574,292,2
11240630020026,538,299,1.8
11240630020027,419,184,2.3
11240630020028,484,203,2.4
11240630020029,631,329,1.9
11240630020030,587,373,1.6
11240630020031,397,165,2.4
11240630020032,385,196,2
11240630020033,429,218,2
11240630020101,548,203,2.7
11240630020102,530,189,2.8
11240640010001,501,251,2
11240640010002,568,277,2.1
11240640010003,426,264,1.6
11240640010004,454,238,1.9
11240640010005,407,230,1.8
11240640010006,433,249,1.7
11240640010007,547,317,1.7
11240640010008,404,225,1.8
11240640010009,549,306,1.8
11240640010010,433,224,1.9
11240640010011,518,285,1.8
11240640010012,531,278,1.9
11240640010013,498,266,1.9
11240640010014,479,286,1.7
11240640010015,510,285,1.8
11240640010016,499,295,1.7
11240640010017,455,265,1.7
11240640010018,411,217,1.9
11240640010019,390,222,1.8
11240640010020,531,310,1.7
11240640010021,572,329,1.7
11240640010022,469,241,1.9
11240640010023,450,227,2
11240640020001,532,268,2
11240640020002,614,292,2.1
11240640020003,434,226,1.9
11240640020004,579,345,1.7
11240640020005,389,216,1.8
11240640020006,490,241,2
11240640020007,371,164,2.3
11240640020008,515,271,1.9
11240640020009,390,235,1.7
11240640020010,430,178,2.4
11240640020011,421,243,1.7
11240640020012,531,297,1.8
11240640020013,642,329,2
11240640020014,540,261,2.1
11240640020015,436,242,1.8
11240640020016,418,204,2
11240640020017,603,272,2.2
11240640020018,632,386,1.6
11240640020019,573,312,1.8
11240640020020,641,331,1.9
11240640020021,502,281,1.8
11240640020022,511,260,2
11240640020023,637,333,1.9
11240640020024,377,176,2.1
11240640020025,613,274,2.2
11240640020026,565,310,1.8
11240640020027,571,292,2
11240640020028,586,308,1.9
11240640020029,353,177,2
11240640020030,471,236,2
11240640020031,347,188,1.8
11240640020032,374,169,2.2
11240640020033,500,204,2.5
11240640020101,311,120,2.6
11240650010001,503,230,2.2
11240650010002,519,216,2.4
11240650010003,492,222,2.2
11240650010004,509,266,1.9
11240650010005,498,233,2.1
11240650010006,545,233,2.3
11240650010007,432,318,1.4
11240650010008,457,246,1.9
11240650010009,424,170,2.5
11240650010010,521,287,1.8
11240650010011,497,228,2.2
11240650010012,497,224,2.2
11240650010013,491,198,2.5
11240650010014,478,253,1.9
11240650010015,571,279,2
11240650010016,399,232,1.7
11240650010017,519,238,2.2
11240650010018,488,195,2.5
11240650010019,403,274,1.5
11240650010020,415,206,2
11240650010101,344,117,2.9
11240650010201,518,193,2.7
11240650010202,399,135,3
11240650010203,305,106,2.9
11240650010601,592,206,2.9
11240650010701,601,204,2.9
11240650010702,834,288,2.9
11240650010801,462,215,2.1
11240650010802,497,228,2.2
11240650010803,420,222,1.9
11240650010804,443,146,3
11240650010901,543,206,2.6
11240650010902,588,215,2.7
