label,parcelCount,parcelShare,floorArea,floorAreaShare
제2종일반주거지역(7층이하),9311,29.9,5327592.1,1.8
제2종일반주거지역,9233,29.6,4637862.8,1.6
제3종일반주거지역,4225,13.6,9469001.7,3.2
자연녹지지역,2424,7.8,201309.3,0.1
미상,1811,5.8,266292856.4,90.9
제1종일반주거지역,1026,3.3,1748558.7,0.6
준주거지역,842,2.7,1124008.1,0.4
일반상업지역,771,2.5,3569991.2,1.2
관리지역,422,1.4,81553.7,0
유통상업지역,356,1.1,315883.8,0.1
생산녹지지역,244,0.8,0,0
제2종일반주거지역(7층),218,0.7,90650,0
제1종전용주거지역,180,0.6,0,0
제2종일반주거지역(12층이하),31,0.1,9073.4,0
제2종일반주거지역(7층 이하),26,0.1,60603.8,0
제2종일반주거지역(15층 이하),10,0,76004,0
도시지역,4,0,49783,0
근린상업지역,4,0,36127.5,0
제2종일반주거지역((7층이하),3,0,8755.7,0
제2종일반주거지역(12층 이하),1,0,0,0